,precision,recall,f1-score,support
cardboard,0.4857142857142857,0.5862068965517241,0.53125,87.0
compost,0.7716049382716049,0.8169934640522876,0.7936507936507936,153.0
glass,0.2833333333333333,0.6296296296296297,0.39080459770114945,27.0
metal,0.2682926829268293,0.171875,0.20952380952380953,64.0
paper,0.38461538461538464,0.35714285714285715,0.37037037037037035,112.0
plastic,0.30952380952380953,0.41935483870967744,0.3561643835616438,62.0
trash,0.6363636363636364,0.4028776978417266,0.4933920704845815,139.0
accuracy,0.5062111801242236,0.5062111801242236,0.5062111801242236,0.5062111801242236
macro avg,0.44849258153555477,0.48344005484684327,0.44930800361319256,644.0
weighted avg,0.5215145572080128,0.5062111801242236,0.5027231994342958,644.0
