,precision,recall,f1-score,support
cardboard,0.8157894736842105,0.8378378378378378,0.8266666666666667,74.0
compost,0.9703703703703703,1.0,0.9849624060150376,131.0
glass,0.896551724137931,1.0,0.9454545454545454,26.0
metal,0.9259259259259259,0.8620689655172413,0.8928571428571429,58.0
paper,0.8651685393258427,0.8279569892473119,0.8461538461538461,93.0
plastic,0.75,0.78,0.7647058823529411,50.0
trash,0.801980198019802,0.7788461538461539,0.7902439024390244,104.0
accuracy,0.8694029850746269,0.8694029850746269,0.8694029850746269,0.8694029850746269
macro avg,0.8608266044948689,0.8695299923497922,0.864434913134172,536.0
weighted avg,0.8691559754735125,0.8694029850746269,0.8688132624112855,536.0
